Gene,RPKM,mRNA per cell cycle,Time to refire
tcyA,425.371303,13.74679,130.9396594
bsdA,22.9868,3.679129736,489.246134
ubiX,585.2400224,17.74670536,101.427277
bsdC,3.91276,3.201897255,562.1666957
bsdD,585.2400224,17.74670536,101.427277
yclD,5.312765525,3.236925393,556.0832522
yclE,19.7303,3.597652106,500.3263092
dtpT,133.951,6.45545402,278.8339897
yclG,5.6509,3.245385518,554.6336452
yczF,5.55787,3.243057907,555.0317174
gerKA,3.26064,3.185581213,565.0460245
gerKC,5.2114,3.234389228,556.519291
gerKB,9.15021,3.332938254,540.0640104
yclH,3.9313,3.202361126,562.0852643
yclI,3.66491,3.195696048,563.257573
yclJ,41.18201136,4.134373924,435.3742629
yclK,55.9609,4.504141718,399.6321858
rapC,144.3485775,6.715601409,268.0325842
phrC,62.88553637,4.67739612,384.8294978
yczM,16.46929755,3.516061825,511.9363907
yczN,12.93812822,3.427711968,525.1316379
thrD,585.2400224,17.74670536,101.427277
pbtN,585.2400224,17.74670536,101.427277
pbtO,585.2400224,17.74670536,101.427277
pbtP,585.2400224,17.74670536,101.427277
pbtQ,585.2400224,17.74670536,101.427277
ycnB,132.708,6.42435416,280.1838061
ycnC,132.5990096,6.42162722,280.3027859
nfrAB,41.3766,4.139242532,434.8621725
ycnE,54.97870791,4.479567272,401.824527
yczG,293.090703,10.43712939,172.4612135
gabR,5.51286,3.241931757,555.2245188
gabT,2.14866,3.157759473,570.0244161
gabD,94.9274,5.479083548,328.5220939
glcU,0.851113023,3.125294848,575.9456588
gdh,2.33986,3.162543297,569.1621682
cutI,585.2400224,17.74670536,101.427277
cutJ,585.2400224,17.74670536,101.427277
cutR,585.2400224,17.74670536,101.427277
ycnL,57.8057,4.550298614,395.578434
mtlA,514.225,15.9699095,112.7119725
mtlF,585.2400224,17.74670536,101.427277
mtlD,254.276,9.46598552,190.1545271
ycsA,56.1889,4.509846278,399.1266862
sipU,70.94973159,4.879162284,368.9157882
yczH,68.1584,4.809323168,374.2730395
ycsD,166.2284597,7.263036062,247.8302441
yczO,585.2400224,17.74670536,101.427277
ribZ,585.2400224,17.74670536,101.427277
pxpA,585.2400224,17.74670536,101.427277
pxpG,585.2400224,17.74670536,101.427277
pxpI,585.2400224,17.74670536,101.427277
pxpB,585.2400224,17.74670536,101.427277
pxpC,585.2400224,17.74670536,101.427277
pxpR,585.2400224,17.74670536,101.427277
lipC,46.00223372,4.254975888,423.0341246
yczI,230.53,8.8718606,202.8886703
yczJ,124.5774764,6.22092846,289.3458769
pbpC,232.906,8.93130812,201.5382266
ycsN,184.411,7.71796322,233.2221531
mtlR,45.1087,4.232619674,425.2685426
ydaB,16.4593,3.515811686,511.9728133
ydaC,15.6761,3.496216022,514.8423292
ydaD,40.6388,4.120782776,436.8102125
lyxE,585.2400224,17.74670536,101.427277
ydaF,11.0075,3.37940765,532.6377242
ydaG,250.193,9.36382886,192.2290579
bsrC,585.2400224,17.74670536,101.427277
amj,585.2400224,17.74670536,101.427277
ydzA,2281.258188,60.18107986,29.9097325
lrpC,585.2400224,17.74670536,101.427277
topB,585.2400224,17.74670536,101.427277
epsJ,4.49858,3.216554472,559.6050109
epsK,3.84935,3.200310737,562.4453836
ydaL,585.2400224,17.74670536,101.427277
ydaM,585.2400224,17.74670536,101.427277
ydaN,585.2400224,17.74670536,101.427277
swaO,585.2400224,17.74670536,101.427277
kimA,585.2400224,17.74670536,101.427277
nudT,585.2400224,17.74670536,101.427277
poxB,585.2400224,17.74670536,101.427277
,585.2400224,17.74670536,101.427277
ydzK,585.2400224,17.74670536,101.427277
mntH,3113.553699,81.00511355,22.22081942
ydaS,75.7055,4.99815161,360.1331333
ydaT,10.6644,3.370823288,533.9941748
ydbA,34.04700562,3.955856081,455.0216093
gsiB,236.7349222,9.027107753,199.3994144
ydbB,23.0759,3.681359018,488.9498664
ydbC,25.4141,3.739860782,481.3013385
ydbD,45.0026,4.229965052,425.5354306
dctB,31.0623,3.881178746,463.7766302
dctS,7.74557,3.297794161,545.8193908
dctR,10.2897,3.361448294,535.483471
dctP,133.116,6.43456232,279.7393063
ydbI,277.6569893,10.05097787,179.0870523
ydbJ,164.041,7.20830582,249.7119358
ydbK,200.943,8.13159386,221.3588173
ydbL,228.0569696,8.809985379,204.3136194
ydbM,31.2839,3.886723178,463.1150503
fbpB,57.9938896,4.555007118,395.1695252
fbpA,65.95318216,4.754148618,378.6166872
ydbO,120.134,6.10975268,294.6109432
ydbP,391.6576472,12.90327433,139.4994754
ddlA,585.2400224,17.74670536,101.427277
murF,195.788,8.00261576,224.9264558
cshA,1898.69,50.6092238,35.56663914
ydbS,186.92,7.7807384,231.3405113
ydbT,231.605,8.8987571,202.2754391
ydcA,93.33216952,5.439170881,330.9327909
acpS,63.6705,4.69703591,383.2204042
ydcC,60.9184,4.628178368,388.9219163
alrA,201.244,8.13912488,221.1539971
ndoAI,2270.64,59.9154128,30.04235331
ndoA,1629.87,43.8833474,41.01783721
rsbRA,170.919,7.38039338,243.8894389
rsbS,217.663,8.54992826,210.5280823
rsbT,172.7899,7.427203298,242.3523267
rsbU,223.055,8.6848361,207.2577973
rsbV,875.5680916,25.01071365,71.9691579
rsbW,801.598,23.15998196,77.72026779
sigB,716.58,21.0328316,85.58048836
rsbX,559.7752817,17.10957755,105.204234
,585.2400224,17.74670536,101.427277
ydcF,9.925878258,3.352345474,536.9375006
ydcG,39.64260086,4.095857874,439.468374
ydcH,43.7813,4.199408126,428.6318324
tex,585.2400224,17.74670536,101.427277
cmpA,585.2400224,17.74670536,101.427277
ydcK,38.20785456,4.059960521,443.3540648
trnSAsn,585.2400224,17.74670536,101.427277
trnSSer,585.2400224,17.74670536,101.427277
trnSGlu,585.2400224,17.74670536,101.427277
trnSGln,585.2400224,17.74670536,101.427277
trnSLys,585.2400224,17.74670536,101.427277
trnSLeu1,585.2400224,17.74670536,101.427277
trnSLeu2,585.2400224,17.74670536,101.427277
ydcL,585.2400224,17.74670536,101.427277
immA,585.2400224,17.74670536,101.427277
immR,585.2400224,17.74670536,101.427277
xis,585.2400224,17.74670536,101.427277
ydzL,585.2400224,17.74670536,101.427277
ydcO,585.2400224,17.74670536,101.427277
sncO,585.2400224,17.74670536,101.427277
,585.2400224,17.74670536,101.427277
helP,585.2400224,17.74670536,101.427277
conQ,585.2400224,17.74670536,101.427277
nicK,585.2400224,17.74670536,101.427277
ydcS,585.2400224,17.74670536,101.427277
ydcT,585.2400224,17.74670536,101.427277
yddA,585.2400224,17.74670536,101.427277
conB,585.2400224,17.74670536,101.427277
conC,585.2400224,17.74670536,101.427277
conD,585.2400224,17.74670536,101.427277
conE,585.2400224,17.74670536,101.427277
yddF,585.2400224,17.74670536,101.427277
conG,585.2400224,17.74670536,101.427277
cwlT,585.2400224,17.74670536,101.427277
yddI,585.2400224,17.74670536,101.427277
yddJ,585.2400224,17.74670536,101.427277
yddK,585.2400224,17.74670536,101.427277
rapI,585.2400224,17.74670536,101.427277
phrI,585.2400224,17.74670536,101.427277
yddM,585.2400224,17.74670536,101.427277
yddN,18.4872,3.566549744,504.689442
lrpA,64.28138736,4.712320312,381.9774296
lrpB,16.1409,3.507845318,513.1355111
yddQ,22.28595522,3.6615946,491.5891017
yddR,15.70706398,3.496990741,514.7282717
yddS,4.5992,3.219071984,559.1673653
ydzM,15.88102516,3.50134325,514.0884146
yddT,19.3832,3.588967664,501.536979
